Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
16193,,,Low,Device1,tcp,445,Antivirus Software Check,An antivirus package is installed on the remote host.,"The remote host has an antivirus installed and running, and its engine
and virus definitions are up to date.",n/a,"http://www.nessus.org/u?b145ae41
http://www.tenable.com/blog/auditing-anti-virus-products-with-nessus","
Sophos :
Sophos Anti-Virus is installed on the remote host :
  Installation path : C:\Program Files (x86)\Sophos\Sophos Anti-Virus
  Product version   : 10.3.15
  Engine version    : 3.60.0.2200
  Virus signatures last updated   : 2015/08/17
Virus signatures last updated   : 2015/08/17
"
16193,,,Low,Device2,tcp,445,Antivirus Software Check,An antivirus package is installed on the remote host.,"The remote host has an antivirus installed and running, and its engine
and virus definitions are up to date.",n/a,"http://www.nessus.org/u?b145ae41
http://www.tenable.com/blog/auditing-anti-virus-products-with-nessus","
Sophos :
Sophos Anti-Virus is installed on the remote host :
  Installation path : C:\Program Files (x86)\Sophos\Sophos Anti-Virus
  Product version   : 10.3.15
  Engine version    : 3.60.0.2200
  Virus signatures last updated   : 2015/08/18
Virus signatures last updated   : 2015/08/18
"
16193,,,Low,Device3,tcp,445,Antivirus Software Check,An antivirus package is installed on the remote host.,"The remote host has an antivirus installed and running, and its engine
and virus definitions are up to date.",n/a,"http://www.nessus.org/u?b145ae41
http://www.tenable.com/blog/auditing-anti-virus-products-with-nessus","
Sophos :
Sophos Anti-Virus is installed on the remote host :
  Installation path : C:\Program Files (x86)\Sophos\Sophos Anti-Virus
  Product version   : 10.3.15
  Engine version    : 3.60.0.2200
  Virus signatures last updated   : 2015/08/18
Virus signatures last updated   : 2015/08/18
"
16193,,,Critical,Device4,tcp,445,Sophos Anti-Virus Detection (Mac OS X),"An antivirus program is installed on the remote host, but the program
does not function properly.","Sophos Anti-Virus for Mac OS X, a commercial antivirus software.
package, is installed on the remote host. However, there is a problem
with the install, either its services are not running or its engine
and/or virus definitions are out-of-date.",Make sure updates are working and the associated services are running.,http://www.sophos.com/,"
Sophos Anti-Virus version :
  Installed version : 10.3.15 
Some scans are not activated.
"
16193,,,Low,Device5,tcp,445,Antivirus Software Check,An antivirus package is installed on the remote host.,"The remote host has an antivirus installed and running, and its engine
and virus definitions are up to date.",n/a,"http://www.nessus.org/u?b145ae41
http://www.tenable.com/blog/auditing-anti-virus-products-with-nessus","
Sophos :
Sophos Anti-Virus is installed on the remote host :
  Installation path : C:\Program Files (x86)\Sophos\Sophos Anti-Virus
  Product version   : 10.3.15
  Engine version    : 3.60.0.2200
  Virus signatures last updated   : 2015/08/17
Virus signatures last updated   : 2015/08/17
"
16193,,,Low,ADMIN-PC,tcp,0,Antivirus Software Check,An antivirus package is installed on the remote host.,"The remote host has an antivirus installed and running, and its engine
and virus definitions are up to date.",n/a,"http://www.nessus.org/u?b145ae41
http://www.tenable.com/blog/auditing-anti-virus-products-with-nessus","
SophosOSX :
Sophos Anti-Virus version :
  Installed version : 9.2.4
Virus signatures last updated   : 2015/08/19
Sophos Anti-Virus engine version :
  Installed version : 3.60.0
"
